행정구역별,2018.1/2,2018.2/2,2019.1/2,2019.2/2,2020.1/2,2020.2/2,2021.1/2,2021.2/2,2022.1/2,2022.2/2
행정구역별,고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%)
서울 종로구,59.6,59.6,60,60,59.3,59.3,52.8,56.1,56.9,52.9
서울 중구,59.6,59.6,60,60,59.3,59.3,55.1,55.9,58.2,57.3
서울 용산구,59.6,59.6,60,60,59.3,59.3,59.1,59.5,60.3,59.7
서울 성동구,59.6,59.6,60,60,59.3,59.3,56.2,56.4,58.4,60
서울 광진구,59.6,59.6,60,60,59.3,59.3,56.2,57.5,60,59.5
서울 동대문구,59.6,59.6,60,60,59.3,59.3,54.1,54.9,56.5,51.4
서울 중랑구,59.6,59.6,60,60,59.3,59.3,54.7,55,55.9,57.6
서울 성북구,59.6,59.6,60,60,59.3,59.3,52.1,52.9,53.9,54.6
서울 강북구,59.6,59.6,60,60,59.3,59.3,51.5,52.1,51.6,54.5
서울 도봉구,59.6,59.6,60,60,59.3,59.3,53,54.1,54.2,56.1
서울 노원구,59.6,59.6,60,60,59.3,59.3,53.6,54.2,54.6,56.5
서울 은평구,59.6,59.6,60,60,59.3,59.3,54.5,56.2,55.6,56.6
서울 서대문구,59.6,59.6,60,60,59.3,59.3,52.9,53.1,53.3,55.7
서울 마포구,59.6,59.6,60,60,59.3,59.3,59.5,60.1,61,60.3
서울 양천구,59.6,59.6,60,60,59.3,59.3,55.6,56.2,57.6,58.2
서울 강서구,59.6,59.6,60,60,59.3,59.3,57.1,58.2,59.5,60.5
서울 구로구,59.6,59.6,60,60,59.3,59.3,57.3,59,59.6,62.3
서울 금천구,59.6,59.6,60,60,59.3,59.3,58.2,58.4,59.7,62.5
서울 영등포구,59.6,59.6,60,60,59.3,59.3,57.7,59.8,61.5,62.3
서울 동작구,59.6,59.6,60,60,59.3,59.3,55,56.6,57.9,56.9
서울 관악구,59.6,59.6,60,60,59.3,59.3,53.7,55.1,58.1,58.7
서울 서초구,59.6,59.6,60,60,59.3,59.3,54.9,55.8,56.3,58.9
서울 강남구,59.6,59.6,60,60,59.3,59.3,56.9,57.9,57.8,56.7
서울 송파구,59.6,59.6,60,60,59.3,59.3,57.2,57.8,59.1,58.8
서울 강동구,59.6,59.6,60,60,59.3,59.3,59.1,59.1,60,60.5
부산 중구,55.7,55.7,56.6,56.6,55.6,55.6,49.4,53.1,54.3,55.6
부산 서구,55.7,55.7,56.6,56.6,55.6,55.6,49.3,51.5,51,51.3
부산 동구,55.7,55.7,56.6,56.6,55.6,55.6,48.4,50.4,50.2,51.9
부산 영도구,55.7,55.7,56.6,56.6,55.6,55.6,45.2,47.5,48.8,50.5
부산 부산진구,55.7,55.7,56.6,56.6,55.6,55.6,52.2,54,53.2,55.2
부산 동래구,55.7,55.7,56.6,56.6,55.6,55.6,52,53.8,53.1,54.4
부산 남구,55.7,55.7,56.6,56.6,55.6,55.6,49.2,50,52.6,52.4
부산 북구,55.7,55.7,56.6,56.6,55.6,55.6,50.7,52.2,52.7,54.4
부산 해운대구,55.7,55.7,56.6,56.6,55.6,55.6,51.1,52.7,53.4,53.2
부산 사하구,55.7,55.7,56.6,56.6,55.6,55.6,52.5,54.2,54.6,54.4
부산 금정구,55.7,55.7,56.6,56.6,55.6,55.6,49,51.7,50.8,51.6
부산 강서구,55.7,55.7,56.6,56.6,55.6,55.6,62.8,63.6,64.5,65.2
부산 연제구,55.7,55.7,56.6,56.6,55.6,55.6,51.7,54.3,55.7,54.5
부산 수영구,55.7,55.7,56.6,56.6,55.6,55.6,51.4,54.2,55.8,53.6
부산 사상구,55.7,55.7,56.6,56.6,55.6,55.6,54.2,55.2,57.2,56.2
부산 기장군,55.7,55.7,56.6,56.6,55.6,55.6,56.9,57.6,56.4,57.3
대구 중구,58.2,58.2,57.9,57.9,56.6,56.6,55.9,56.6,56.8,58.4
대구 동구,58.2,58.2,57.9,57.9,56.6,56.6,53,54.9,56,55.6
대구 서구,58.2,58.2,57.9,57.9,56.6,56.6,50.9,52.4,52.8,52.1
대구 남구,58.2,58.2,57.9,57.9,56.6,56.6,48.5,50.5,49.9,51.5
